politician/institution,date,answer,pct_estimate,lo,hi
Supreme Court,2023-11-30,Approve,38.79825121619304,33.78488936595141,43.81161306643467
Supreme Court,2023-11-30,Disapprove,53.48999907057099,47.8881535622736,59.091844578868375
Supreme Court,2023-11-29,Approve,38.80016070508664,33.78678267508129,43.81353873509199
Supreme Court,2023-11-29,Disapprove,53.48842230197374,47.886558454855674,59.09028614909181
Supreme Court,2023-11-28,Approve,38.80016071899904,33.78678268777855,43.81353875021953
Supreme Court,2023-11-28,Disapprove,53.487060312476146,47.88519646771858,59.08892415723371
Supreme Court,2023-11-27,Approve,38.800151035081434,33.78677389763314,43.81352817252973
Supreme Court,2023-11-27,Disapprove,53.48549167616581,47.883628120809924,59.08735523152169
Supreme Court,2023-11-26,Approve,38.691575194052525,33.66761837823359,43.71553200987146
Supreme Court,2023-11-26,Disapprove,54.10188099018218,48.507058773183736,59.696703207180626
Supreme Court,2023-11-25,Approve,38.69157519405252,33.667618378233584,43.71553200987145
Supreme Court,2023-11-25,Disapprove,54.10188099018218,48.507058773183736,59.696703207180626
Supreme Court,2023-11-24,Approve,38.691575194052525,33.66761837823359,43.71553200987146
Supreme Court,2023-11-24,Disapprove,54.10188099018218,48.507058773183736,59.696703207180626
Supreme Court,2023-11-23,Approve,38.691575194052525,33.66761837823359,43.71553200987146
Supreme Court,2023-11-23,Disapprove,54.10188099018218,48.507058773183736,59.696703207180626
Supreme Court,2023-11-22,Approve,38.69259646910988,33.66862326696011,43.71656967125965
Supreme Court,2023-11-22,Disapprove,54.10189942572593,48.50705988113608,59.696738970315785
Supreme Court,2023-11-21,Approve,38.692596361434376,33.66862317187049,43.71656955099826
Supreme Court,2023-11-21,Disapprove,54.10189942042753,48.50705987153172,59.696738969323334
Supreme Court,2023-11-20,Approve,38.66328235071113,33.63931199920633,43.68725270221593
Supreme Court,2023-11-20,Disapprove,54.090509532609374,48.49566960837715,59.6853494568416
